Carimbo de data/hora,Nome para identificação,Qual grupo você pertence?,Qual o seu nível de familiaridade com Física?,01/36 - OS e OM,02/36 - OS e T,03/36 - OS e F,04/36 - OS e CO,05/36 - OS e Ref,06/36 - OS e AS,07/36 - OS e VS,08/36 - OS e Refra,09/36 - OM e T,10/36 - OM e F,11/36 - OM e CO,12/36 - OM e Ref,13/36 - OM e AS,14/36 - OM e VS,15/36 - OM e Refra,16/36 - T e F,17/36 - T e CO,18/36 - T e Ref,19/36 - T e AS,20/36 - T e VS,21/36 - T e Refra,22/36 - F e CO,23/36 - F e Ref,24/36 - F e AS,25/36 - F e VS,26/36 - F e Refra,27/36 - CO e Ref,28/36 - CO e AS,29/36 - CO e VS,30/36 - CO e Refra,31/36 - Ref e AS,32/36 - Ref e VS,33/36 - Ref e Refra,34/36 - AS e VS,35/36 - AS e Refra,36/36 - VS e Refra
22/09/2025 21:21:38,,,,8,3,2,2,3,1,1,3,9,8,6,7,8,1,4,5,7,3,2,5,7,3,5,3,2,3,3,2,1,1,8,4,2,3,6,5
22/09/2025 21:28:04,,,,1,2,5,5,5,2,1,5,2,6,1,1,3,6,5,5,4,9,4,5,6,2,5,2,4,9,3,5,2,4,5,1,3,2,6,3
23/09/2025 09:35:35,,,,5,2,1,2,9,3,8,8,5,9,6,8,6,7,4,4,5,9,5,4,9,6,8,9,9,1,3,9,3,7,9,9,5,4,8,9
23/09/2025 09:37:17,,,,9,5,8,1,9,4,7,5,8,9,3,3,8,4,8,7,5,1,4,1,2,3,3,5,2,9,2,4,1,2,9,7,7,1,2,1
23/09/2025 09:39:35,,,,5,2,9,6,7,8,9,2,6,7,7,4,4,3,3,4,7,2,7,5,2,2,8,5,9,4,7,5,8,2,4,5,3,2,4,3
23/09/2025 09:40:56,,,,6,3,1,8,6,4,2,4,5,9,4,5,1,1,6,3,6,7,3,4,2,4,9,5,2,3,4,8,2,3,3,7,9,1,5,7
23/09/2025 09:42:10,,,,3,3,1,5,9,2,1,9,4,4,2,1,5,5,4,3,5,7,2,2,7,2,5,4,9,4,5,9,5,3,7,9,3,1,3,7
23/09/2025 09:43:54,,,,3,5,2,1,7,3,1,1,6,8,3,3,3,2,4,1,2,2,1,9,3,2,1,4,9,5,1,9,1,1,3,9,2,3,2,1
23/09/2025 09:44:56,,,,1,4,3,7,3,3,2,5,2,8,5,2,4,2,4,4,3,2,1,5,3,1,4,2,3,6,2,2,2,1,5,2,1,1,6,6
23/09/2025 09:45:51,,,,3,5,1,5,5,9,7,7,5,9,3,2,9,1,7,4,6,1,5,3,2,4,1,5,1,8,2,3,3,5,4,7,6,4,2,6
26/09/2025 09:47:04,Gustavo,Aluno,Intermediário,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
26/09/2025 09:56:47,Gustavo123,Professor,Intermediário,1,2,3,4,5,6,8,7,9,8,7,1,2,3,4,5,6,9,1,2,3,9,1,2,3,4,5,6,4,5,6,7,8,7,8,9
