Carimbo de data/hora,(OS) Onda Sonora [(OM) Onda Mecânica],(OS) Onda Sonora [(T) Timbre],(OS) Onda Sonora [(F) Frequência],(OS) Onda Sonora [(CO) Comprimento de Onda],(OS) Onda Sonora [(Ref) Reflexão],(OS) Onda Sonora [(AS) Amplitude do Som],(OS) Onda Sonora [(VS) Velocidade do Som],(OS) Onda Sonora [(Refra) Refração],(OM) Onda Mecânica [(T) Timbre],(OM) Onda Mecânica [(F) Frequência],(OM) Onda Mecânica [(CO) Comprimento de Onda],(OM) Onda Mecânica [(Ref) Reflexão],(OM) Onda Mecânica [(AS) Amplitude do Som],(OM) Onda Mecânica [(VS) Velocidade do Som],(OM) Onda Mecânica [(Refra) Refração],(T) Timbre [(F) Frequência],(T) Timbre [(CO) Comprimento de Onda],(T) Timbre [(Ref) Reflexão],(T) Timbre [(AS) Amplitude do Som],(T) Timbre [(VS) Velocidade do Som],(T) Timbre [(Refra) Refração],(F) Frequência [(CO) Comprimento de Onda],(F) Frequência [(Ref) Reflexão],(F) Frequência [(AS) Amplitude do Som],(F) Frequência [(VS) Velocidade do Som],(F) Frequência [(Refra) Refração],(CO) Comprimento de Onda [(Ref) Reflexão],(CO) Comprimento de Onda [(AS) Amplitude do Som],(CO) Comprimento de Onda [(VS) Velocidade do Som],(CO) Comprimento de Onda [(Refra) Refração],(Ref) Reflexão [(AS) Amplitude do Som],(Ref) Reflexão [(VS) Velocidade do Som],(Ref) Reflexão [(Refra) Refração],(AS) Amplitude do Som [(VS) Velocidade do Som],(AS) Amplitude do Som [(Refra) Refração],(VS) Velocidade do Som [(Refra) Refração]
22/09/2025 21:21:38,8,3,2,2,3,1,1,3,9,5,7,8,6,7,8,1,4,3,2,5,7,3,2,1,1,8,4,2,3,5,3,2,3,3,6,5
22/09/2025 21:28:04,1,2,5,5,5,2,1,5,2,5,4,6,1,1,3,6,5,9,4,5,6,3,5,2,4,5,1,3,2,5,2,4,9,2,6,3
23/09/2025 09:35:35,5,2,1,2,9,3,8,8,5,4,5,9,6,8,6,7,4,9,5,4,9,3,9,3,7,9,9,5,6,8,9,9,1,4,8,9
23/09/2025 09:37:17,9,5,8,1,9,4,7,5,8,7,5,9,3,3,8,4,8,1,4,1,2,2,4,1,2,9,7,7,3,3,5,2,9,1,2,1
23/09/2025 09:39:35,5,2,9,6,7,8,9,2,6,4,7,7,7,4,4,3,3,2,7,5,2,7,5,8,2,4,5,3,2,8,5,9,4,2,4,3
23/09/2025 09:40:56,6,3,1,8,6,4,2,4,5,3,6,9,4,5,1,1,6,7,3,4,2,4,8,2,3,3,7,9,4,9,5,2,3,1,5,7
23/09/2025 09:42:10,3,3,1,5,9,2,1,9,4,3,5,4,2,1,5,5,4,7,2,2,7,5,9,5,3,7,9,3,2,5,4,9,4,1,3,7
23/09/2025 09:43:54,3,5,2,1,7,3,1,1,6,1,2,8,3,3,3,2,4,2,1,9,3,1,9,1,1,3,9,2,2,1,4,9,5,3,2,1
23/09/2025 09:44:56,1,4,3,7,3,3,2,5,2,4,3,8,5,2,4,2,4,2,1,5,3,2,2,2,1,5,2,1,1,4,2,3,6,1,6,6
23/09/2025 09:45:51,3,5,1,5,5,9,7,7,5,4,6,9,3,2,9,1,7,1,5,3,2,2,3,3,5,4,7,6,4,1,5,1,8,4,2,6
